DateTime,GPS_Lat,GPS_Long,Depth_m,Temp_C,GPS_FixQuality,GPS_n_Sat,GPS_HDoP,GPS_Altitude,GPS_T_TMG,GPS_M_TMG,GPS_SOG_N,GPS_SOG_K,GPS_MagVar
2025-09-06 12:22:22,43.0178500,-87.9036667,3.32,19.82,,,,,158.90,,0.00,,-3.10
2025-09-06 12:22:23,43.0178500,-87.9036667,3.32,19.82,,,,,129.40,,0.00,,-3.10
2025-09-06 12:22:24,43.0178500,-87.9036667,3.32,19.82,,,,,137.70,,0.00,,-3.10
2025-09-06 12:22:25,43.0178500,-87.9036667,3.32,19.82,,,,,122.90,,0.00,,-3.10
2025-09-06 12:22:26,43.0178500,-87.9036667,3.32,19.82,,,,,164.20,,0.00,,-3.10
2025-09-06 12:22:27,43.0178500,-87.9036667,3.32,19.82,,,,,117.10,,0.00,,-3.10
2025-09-06 12:22:28,43.0178500,-87.9036667,3.32,19.82,,,,,131.30,,0.00,,-3.10
2025-09-06 12:22:29,43.0178500,-87.9036667,3.32,19.82,,,,,153.00,,0.00,,-3.10
2025-09-06 12:22:30,43.0178500,-87.9036667,3.32,19.82,,,,,130.40,,0.00,,-3.10
2025-09-06 12:22:31,43.0178500,-87.9036667,3.32,19.82,,,,,134.80,,0.00,,-3.10
2025-09-06 12:22:32,43.0178500,-87.9036667,3.32,19.82,,,,,142.80,,0.00,,-3.10
2025-09-06 12:22:33,43.0178500,-87.9036667,3.32,19.82,,,,,125.60,,0.00,,-3.10
2025-09-06 12:22:34,43.0178500,-87.9036667,3.32,19.82,,,,,173.50,,0.00,,-3.10
2025-09-06 12:22:35,43.0178500,-87.9036667,3.32,19.82,,,,,171.80,,0.00,,-3.10
2025-09-06 12:22:36,43.0178500,-87.9036667,3.32,19.82,,,,,160.60,,0.00,,-3.10
2025-09-06 12:22:37,43.0178500,-87.9036667,3.32,19.82,,,,,179.70,,0.00,,-3.10
2025-09-06 12:22:38,43.0178500,-87.9036667,3.32,19.82,,,,,160.30,,0.00,,-3.10
