DateTime,GPS_Lat,GPS_Long,Depth_m,Temp_C,GPS_FixQuality,GPS_n_Sat,GPS_HDoP,GPS_Altitude,GPS_T_TMG,GPS_M_TMG,GPS_SOG_N,GPS_SOG_K,GPS_MagVar
2025-08-18 14:41:13,43.0178500,-87.9036667,3.29,23.33,,,,,356.00,,0.20,,-3.10
2025-08-18 14:41:14,43.0178500,-87.9036667,3.29,23.33,,,,,355.10,,0.40,,-3.10
2025-08-18 14:41:15,43.0178500,-87.9036667,3.29,23.32,,,,,179.60,,0.20,,-3.10
2025-08-18 14:41:16,43.0178500,-87.9036667,3.29,23.33,,,,,203.90,,0.20,,-3.10
2025-08-18 14:41:17,43.0178500,-87.9036667,3.29,23.32,,,,,307.90,,0.20,,-3.10
2025-08-18 14:41:18,43.0178500,-87.9036667,3.29,23.32,,,,,11.90,,0.00,,-3.10
2025-08-18 14:41:19,43.0178500,-87.9036667,3.29,23.32,,,,,359.60,,0.20,,-3.10
2025-08-18 14:41:20,43.0178500,-87.9036667,3.29,23.32,,,,,205.90,,0.20,,-3.10
2025-08-18 14:41:21,43.0178500,-87.9036667,3.29,23.32,,,,,187.80,,0.00,,-3.10
2025-08-18 14:41:22,43.0178500,-87.9036667,3.29,23.32,,,,,205.50,,0.20,,-3.10
2025-08-18 14:41:23,43.0178500,-87.9036667,3.29,23.32,,,,,356.00,,0.00,,-3.10
2025-08-18 14:41:24,43.0178500,-87.9036667,3.29,23.32,,,,,353.90,,0.20,,-3.10
2025-08-18 14:41:25,43.0178500,-87.9036667,3.29,23.32,,,,,137.20,,0.20,,-3.10
2025-08-18 14:41:26,43.0178500,-87.9036667,3.29,23.32,,,,,158.40,,0.00,,-3.10
2025-08-18 14:41:27,43.0178500,-87.9036667,3.29,23.33,,,,,227.70,,0.20,,-3.10
2025-08-18 14:41:28,43.0178500,-87.9036667,3.29,23.32,,,,,6.20,,0.00,,-3.10
2025-08-18 14:41:29,43.0178500,-87.9036667,3.29,23.33,,,,,20.00,,0.20,,-3.10
2025-08-18 14:41:30,43.0178500,-87.9036667,3.29,23.33,,,,,174.00,,0.20,,-3.10
2025-08-18 14:41:31,43.0178500,-87.9036667,3.29,23.33,,,,,180.10,,0.00,,-3.10
2025-08-18 14:41:32,43.0178500,-87.9036667,3.29,23.33,,,,,66.50,,0.20,,-3.10
2025-08-18 14:41:33,43.0178500,-87.9036667,3.29,23.33,,,,,6.60,,0.00,,-3.10
2025-08-18 14:41:34,43.0178500,-87.9036667,3.29,23.33,,,,,357.60,,0.20,,-3.10
2025-08-18 14:41:35,43.0178500,-87.9036667,3.29,23.33,,,,,180.70,,0.20,,-3.10
2025-08-18 14:41:36,43.0178500,-87.9036667,3.29,23.34,,,,,175.40,,0.00,,-3.10
2025-08-18 14:41:37,43.0178500,-87.9036667,3.29,23.34,,,,,246.00,,0.20,,-3.10
2025-08-18 14:41:38,43.0178500,-87.9036667,3.29,23.34,,,,,351.20,,0.00,,-3.10
2025-08-18 14:41:39,43.0178500,-87.9036667,3.29,23.33,,,,,24.20,,0.20,,-3.10
2025-08-18 14:41:40,43.0178500,-87.9036667,3.29,23.32,,,,,176.80,,0.20,,-3.10
2025-08-18 14:41:41,43.0178500,-87.9036667,3.29,23.32,,,,,190.00,,0.20,,-3.10
2025-08-18 14:41:42,43.0178500,-87.9036667,3.29,23.32,,,,,347.40,,0.20,,-3.10
2025-08-18 14:41:43,43.0178500,-87.9036667,3.29,23.31,,,,,357.00,,0.00,,-3.10
2025-08-18 14:41:44,43.0178500,-87.9036667,3.29,23.31,,,,,9.00,,0.20,,-3.10
2025-08-18 14:41:45,43.0178500,-87.9036667,3.29,23.30,,,,,148.00,,0.20,,-3.10
2025-08-18 14:41:46,43.0178500,-87.9036667,3.29,23.30,,,,,190.60,,0.00,,-3.10
2025-08-18 14:41:47,43.0178500,-87.9036667,3.29,23.30,,,,,180.90,,0.20,,-3.10
2025-08-18 14:41:48,43.0178500,-87.9036667,3.29,23.30,,,,,13.10,,0.00,,-3.10
2025-08-18 14:41:49,43.0178500,-87.9036667,3.29,23.30,,,,,7.40,,0.20,,-3.10
2025-08-18 14:41:50,43.0178500,-87.9036667,3.29,23.31,,,,,43.40,,0.20,,-3.10
2025-08-18 14:41:51,43.0178500,-87.9036667,3.29,23.31,,,,,185.00,,0.00,,-3.10
2025-08-18 14:41:52,43.0178500,-87.9036667,3.29,23.32,,,,,178.60,,0.20,,-3.10
2025-08-18 14:41:53,43.0178500,-87.9036667,3.29,23.32,,,,,16.20,,0.20,,-3.10
2025-08-18 14:41:54,43.0178500,-87.9036667,3.29,23.32,,,,,355.40,,0.00,,-3.10
2025-08-18 14:41:55,43.0178500,-87.9036667,3.29,23.32,,,,,70.20,,0.20,,-3.10
2025-08-18 14:41:56,43.0178500,-87.9036667,3.29,23.32,,,,,175.90,,0.00,,-3.10
2025-08-18 14:41:57,43.0178500,-87.9036667,3.29,23.32,,,,,191.30,,0.20,,-3.10
2025-08-18 14:41:58,43.0178500,-87.9036667,3.29,23.32,,,,,93.40,,0.20,,-3.10
2025-08-18 14:41:59,43.0178500,-87.9036667,3.29,23.32,,,,,17.60,,0.00,,-3.10
2025-08-18 14:42:00,43.0178500,-87.9036667,3.29,23.32,,,,,1.50,,0.20,,-3.10
2025-08-18 14:42:01,43.0178500,-87.9036667,3.29,23.33,,,,,178.40,,0.20,,-3.10
2025-08-18 14:42:02,43.0178500,-87.9036667,3.29,23.32,,,,,153.30,,0.20,,-3.10
2025-08-18 14:42:03,43.0178500,-87.9036667,3.29,23.32,,,,,19.40,,0.20,,-3.10
2025-08-18 14:42:04,43.0178500,-87.9036667,3.29,23.32,,,,,1.80,,0.00,,-3.10
2025-08-18 14:42:05,43.0178500,-87.9036667,3.29,23.32,,,,,6.50,,0.20,,-3.10
2025-08-18 14:42:06,43.0178500,-87.9036667,3.29,23.31,,,,,169.30,,0.20,,-3.10
2025-08-18 14:42:07,43.0178500,-87.9036667,3.29,23.31,,,,,170.80,,0.20,,-3.10
2025-08-18 14:42:08,43.0178500,-87.9036667,3.29,23.32,,,,,57.60,,0.20,,-3.10
2025-08-18 14:42:09,43.0178500,-87.9036667,3.29,23.32,,,,,4.90,,0.20,,-3.10
2025-08-18 14:42:10,43.0178500,-87.9036667,3.29,23.32,,,,,346.90,,0.20,,-3.10
2025-08-18 14:42:11,43.0178500,-87.9036667,3.29,23.32,,,,,166.60,,0.20,,-3.10
2025-08-18 14:42:12,43.0178500,-87.9036667,3.29,23.33,,,,,153.60,,0.20,,-3.10
2025-08-18 14:42:13,43.0178500,-87.9036667,3.29,23.32,,,,,16.30,,0.20,,-3.10
2025-08-18 14:42:14,43.0178500,-87.9036667,3.29,23.33,,,,,13.70,,0.20,,-3.10
2025-08-18 14:42:15,43.0178500,-87.9036667,3.29,23.33,,,,,70.70,,0.20,,-3.10
2025-08-18 14:42:16,43.0178500,-87.9036667,3.29,23.33,,,,,179.40,,0.20,,-3.10
2025-08-18 14:42:17,43.0178500,-87.9036667,3.29,23.33,,,,,149.10,,0.20,,-3.10
2025-08-18 14:42:18,43.0178500,-87.9036667,3.29,23.32,,,,,14.40,,0.20,,-3.10
2025-08-18 14:42:19,43.0178500,-87.9036667,3.29,23.32,,,,,4.30,,0.20,,-3.10
2025-08-18 14:42:20,43.0178500,-87.9036667,3.29,23.32,,,,,151.00,,0.20,,-3.10
2025-08-18 14:42:21,43.0178500,-87.9036667,3.29,23.33,,,,,167.30,,0.00,,-3.10
2025-08-18 14:42:22,43.0178500,-87.9036667,3.29,23.33,,,,,133.40,,0.20,,-3.10
2025-08-18 14:42:23,43.0178500,-87.9036667,3.29,23.33,,,,,2.10,,0.20,,-3.10
2025-08-18 14:42:24,43.0178500,-87.9036667,3.29,23.32,,,,,1.20,,0.20,,-3.10
2025-08-18 14:42:25,43.0178500,-87.9036667,3.29,23.32,,,,,150.70,,0.20,,-3.10
2025-08-18 14:42:26,43.0178500,-87.9036667,3.29,23.32,,,,,186.00,,0.00,,-3.10
2025-08-18 14:42:27,43.0178500,-87.9036667,3.29,23.33,,,,,8.50,,0.20,,-3.10
2025-08-18 14:42:28,43.0178500,-87.9036667,3.29,23.33,,,,,7.60,,0.00,,-3.10
2025-08-18 14:42:29,43.0178500,-87.9036667,3.29,23.33,,,,,300.60,,0.20,,-3.10
2025-08-18 14:42:30,43.0178500,-87.9036667,3.29,23.33,,,,,192.10,,0.20,,-3.10
2025-08-18 14:42:31,43.0178500,-87.9036667,3.29,23.32,,,,,193.00,,0.20,,-3.10
2025-08-18 14:42:32,43.0178500,-87.9036667,3.29,23.32,,,,,0.10,,0.00,,-3.10
2025-08-18 14:42:33,43.0178500,-87.9036667,3.29,23.32,,,,,341.60,,0.20,,-3.10
2025-08-18 14:42:34,43.0178500,-87.9036667,3.29,23.32,,,,,184.10,,0.20,,-3.10
2025-08-18 14:42:35,43.0178500,-87.9036667,3.29,23.32,,,,,146.90,,0.00,,-3.10
2025-08-18 14:42:36,43.0178500,-87.9036667,3.29,23.32,,,,,142.40,,0.20,,-3.10
2025-08-18 14:42:37,43.0178500,-87.9036667,3.29,23.32,,,,,357.60,,0.00,,-3.10
2025-08-18 14:42:38,43.0178500,-87.9036667,3.29,23.33,,,,,357.80,,0.20,,-3.10
2025-08-18 14:42:39,43.0178500,-87.9036667,3.29,23.33,,,,,100.20,,0.20,,-3.10
2025-08-18 14:42:40,43.0178500,-87.9036667,3.29,23.33,,,,,153.50,,0.00,,-3.10
2025-08-18 14:42:41,43.0178500,-87.9036667,3.29,23.33,,,,,141.90,,0.20,,-3.10
2025-08-18 14:42:42,43.0178500,-87.9036667,3.29,23.32,,,,,359.20,,0.20,,-3.10
2025-08-18 14:42:43,43.0178500,-87.9036667,3.29,23.32,,,,,354.60,,0.20,,-3.10
2025-08-18 14:42:44,43.0178500,-87.9036667,3.29,23.32,,,,,165.30,,0.20,,-3.10
2025-08-18 14:42:45,43.0178500,-87.9036667,3.29,23.32,,,,,160.30,,0.00,,-3.10
2025-08-18 14:42:46,43.0178500,-87.9036667,3.29,23.32,,,,,32.30,,0.20,,-3.10
2025-08-18 14:42:47,43.0178500,-87.9036667,3.29,23.32,,,,,342.20,,0.00,,-3.10
2025-08-18 14:42:48,43.0178500,-87.9036667,3.29,23.32,,,,,139.20,,0.20,,-3.10
2025-08-18 14:42:49,43.0178500,-87.9036667,3.29,23.32,,,,,156.70,,0.00,,-3.10
2025-08-18 14:42:50,43.0178500,-87.9036667,3.29,23.32,,,,,258.10,,0.20,,-3.10
2025-08-18 14:42:51,43.0178500,-87.9036667,3.29,23.32,,,,,351.60,,0.00,,-3.10
2025-08-18 14:42:52,43.0178500,-87.9036667,3.29,23.33,,,,,4.40,,0.20,,-3.10
2025-08-18 14:42:53,43.0178500,-87.9036667,3.29,23.33,,,,,209.10,,0.20,,-3.10
2025-08-18 14:42:54,43.0178500,-87.9036667,3.29,23.34,,,,,176.60,,0.00,,-3.10
2025-08-18 14:42:55,43.0178500,-87.9036667,3.29,23.34,,,,,163.70,,0.20,,-3.10
2025-08-18 14:42:56,43.0178500,-87.9036667,3.29,23.33,,,,,343.10,,0.20,,-3.10
2025-08-18 14:42:57,43.0178500,-87.9036667,3.29,23.33,,,,,342.60,,0.20,,-3.10
2025-08-18 14:42:58,43.0178500,-87.9036667,3.29,23.32,,,,,58.50,,0.20,,-3.10
2025-08-18 14:42:59,43.0178500,-87.9036667,3.29,23.32,,,,,169.90,,0.00,,-3.10
2025-08-18 14:43:00,43.0178500,-87.9036667,3.29,23.31,,,,,183.90,,0.20,,-3.10
2025-08-18 14:43:01,43.0178500,-87.9036667,3.29,23.31,,,,,3.70,,0.20,,-3.10
2025-08-18 14:43:02,43.0178500,-87.9036667,3.29,23.31,,,,,4.70,,0.00,,-3.10
2025-08-18 14:43:03,43.0178500,-87.9036667,3.29,23.32,,,,,18.60,,0.20,,-3.10
2025-08-18 14:43:04,43.0178500,-87.9036667,3.29,23.31,,,,,164.20,,0.20,,-3.10
2025-08-18 14:43:05,43.0178500,-87.9036667,3.29,23.32,,,,,160.30,,0.20,,-3.10
2025-08-18 14:43:06,43.0178500,-87.9036667,3.29,23.32,,,,,175.60,,0.20,,-3.10
2025-08-18 14:43:07,43.0178500,-87.9036667,3.29,23.33,,,,,38.30,,0.20,,-3.10
2025-08-18 14:43:08,43.0178500,-87.9036667,3.29,23.33,,,,,8.20,,0.00,,-3.10
2025-08-18 14:43:09,43.0178500,-87.9036667,3.29,23.33,,,,,11.80,,0.20,,-3.10
2025-08-18 14:43:10,43.0178500,-87.9036667,3.29,23.33,,,,,95.70,,0.20,,-3.10
2025-08-18 14:43:11,43.0178500,-87.9036667,3.29,23.32,,,,,141.60,,0.00,,-3.10
2025-08-18 14:43:12,43.0178500,-87.9036667,3.29,23.32,,,,,53.50,,0.00,,-3.10
2025-08-18 14:43:13,43.0178500,-87.9036667,3.29,23.32,,,,,25.50,,0.00,,-3.10
2025-08-18 14:43:14,43.0178500,-87.9036667,3.29,23.32,,,,,22.20,,0.20,,-3.10
